Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C20, C22, C50, C9",0805,6,10uF,C95841
"C10, C11, C12, C13, C14, C21, C23, C25, C36, C37, C38, C42, C44, C45, C6",0402,15,100nF,C307331
"C15, C31, C33",0402,3,1uF,C52923
"C16, C34, C35, C39, C7",0402,5,4.7uF,C23733
"C17, C8",0402,2,10uF,C15525
C19,1210,1,47uF,C84494
C2,0805,1,100nF,C49678
"C24, C4, C5",0805,3,4.7uF,C6119943
"C26, C27, C43",0402,3,12pF,C1547
"C28, C29",0402,2,15pF,C1548
C3,1206,1,4.7uF,C29823
C32,0402,1,47nF,C272875
C40,0402,1,820pF,C307452
C41,0402,1,100pF,C1546
C46,0402,1,0.8pF,C88902
C47,0402,1,0.5pF,C2912277
C48,Z0201 RF Antenna Path,1,0.4pF,C710805
D2,0603,1,Red,C2286
D3,0603,1,Emerald,C5121471
F1,0603,1,1 A,C151139
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-14,1,HRO_Type-C-31-M-14,C223907
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PH-2A,C2319
L1,0402,1,BLM15PX121SN1D,C88970
"L3, L4",1008,2,2.2uH,C5832372
L6,0603,1,10uH,C86752
L7,0402,1,15nH,C668460
L8,0402,1,4.7nH,C86065
"LED1, LED2, LED3, LED4, LED5",LED_WS2812_2020,5,WS2812_2020,C965555
"Q1, Q3",SOT-23,2,2N7002,C8545
Q2,SOT-23,1,AO3401A,C347476
"R1, R15, R2",0603,3,5.1K,C23186
R11,0402,1,267K,C2998050
R12,0603,1,3.9K,C23018
R13,0402,1,2.2K,C25879
R14,0402,1,56K,C25796
"R16, R18, R21, R27, R4",0603,5,10K,C25804
"R17, R3",0603,2,100R,C22775
R19,0603,1,909R,C471842
R20,0805,1,5.6R,C17729
"R22, R23",0603,2,1M,C22935
R24,0603,1,4.7R,C23164
R25,0402,1,100K,C25741
R26,0402,1,1.5K,C25867
R5,0603,1,100K,C25803
"R6, R8",0603,2,1.5K,C22843
R7,0805,1,10K,C17414
SW8,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,Microswitch_Wheel,C139797
U1,SOT-23-6,1,SRV05-4,C2836319
"U10, U4",Texas_DSBGA-6_0.76x1.16mm_Layout2x3_P0.4mm,2,TPS62840YBG,C2071139
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,BQ24075RGT,C15464
U3,TDFN-8-EP_2x2mm_EP_0.8x1.38mm,1,MAX17048,C2682616
U5,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840-QIXX,C190794
U6,PixArt_PDIP-16_10.9x16.2mm_P1.78mm,1,PAW3395DM,
U9,SOT-363_SC-70-6,1,SN74LVC1T45DC,C9382
XL1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz,C7500573
XL2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,C2965582
